complaint_id,timestamp,source,department,category,subcategory,complaint_text,sentiment_score,urgency_level,escalation_flag,resolved,duplicate_group_id,toxicity_score,anonymous,response_delay_hours
CMP-E30EE97F,2026-01-31 00:18:41,WhatsApp,CSE,Placement,Scheduling,HR round postponed without notice,0.27,5,true,true,PLACEMENT_INTERVIEW_CLASH_30,0.3,false,26
CMP-209346F5,2026-01-31 01:04:27,WhatsApp,CSE,Academic,Attendance,attendance portal is showing wrong data for CS101,0.39,2,false,false,FACULTY_ATTENDANCE_42,0.19,false,
CMP-655A55A9,2026-01-31 01:26:26,Email,ECE,Academic,Attendance,Professor missed the last three lectures without prior notice.,0.19,3,false,false,FACULTY_ATTENDANCE_42,0.14,false,
CMP-1729C547,2026-01-31 02:37:44,WhatsApp,CSE,Academic,Attendance,My attendance was marked absent even though I was present.,0.16,3,false,true,FACULTY_ATTENDANCE_42,0.13,false,17
CMP-6652E343,2026-01-31 02:51:40,Email,CE,Placement,Scheduling,placement drive and mid sem on same day??,0.19,4,true,true,PLACEMENT_INTERVIEW_CLASH_30,0.15,false,27
CMP-8D10E81F,2026-01-31 03:35:10,Email,CE,Academic,Attendance,teacher not coming but taking attendance online??,0.34,2,false,true,FACULTY_ATTENDANCE_42,0.18,false,27
CMP-A8002321,2026-01-31 04:19:48,App,CE,Placement,Scheduling,placement drive and mid sem on same day??,0.24,4,true,false,PLACEMENT_INTERVIEW_CLASH_30,0.01,false,
CMP-2A7CDC81,2026-01-31 06:56:22,WhatsApp,CE,Academic,Attendance,Professor missed the last three lectures without prior notice.,0.25,3,false,false,FACULTY_ATTENDANCE_42,0.27,false,
CMP-B947B014,2026-01-31 11:35:16,Email,ECE,Academic,Attendance,My attendance was marked absent even though I was present.,0.34,3,false,true,FACULTY_ATTENDANCE_42,0.01,false,17
CMP-06A41223,2026-01-31 12:31:42,Email,ECE,Placement,Scheduling,placement cell is not responding to mails,0.15,4,false,false,PLACEMENT_INTERVIEW_CLASH_30,0.05,true,
CMP-A523AA17,2026-01-31 12:56:43,Form,ECE,Placement,Scheduling,HR round postponed without notice,0.14,4,true,true,PLACEMENT_INTERVIEW_CLASH_30,0.19,true,2
CMP-54BF0C65,2026-01-31 13:58:57,Form,ECE,Academic,Attendance,Professor missed the last three lectures without prior notice.,0.26,3,false,true,FACULTY_ATTENDANCE_42,0.1,false,4
CMP-C40325FF,2026-01-31 14:13:42,WhatsApp,ECE,Academic,Attendance,My attendance was marked absent even though I was present.,0.35,2,false,true,FACULTY_ATTENDANCE_42,0.06,false,8
CMP-4833610E,2026-01-31 18:31:08,Email,CSE,Placement,Scheduling,placement drive and mid sem on same day??,0.33,4,true,true,PLACEMENT_INTERVIEW_CLASH_30,0.17,true,28
CMP-E8084FBB,2026-01-31 19:25:31,Form,ME,Placement,Scheduling,HR round postponed without notice,0.3,5,true,true,PLACEMENT_INTERVIEW_CLASH_30,0.15,false,27
CMP-29D66E86,2026-01-31 19:32:56,WhatsApp,ME,Academic,Attendance,Faculty attendance policy bahut unfair hai.,0.13,2,false,false,FACULTY_ATTENDANCE_42,0.28,false,
CMP-A5EDA9A3,2026-01-31 19:49:25,Email,CSE,Academic,Attendance,My attendance was marked absent even though I was present.,0.21,3,false,true,FACULTY_ATTENDANCE_42,0.06,true,22
CMP-FAB92E08,2026-01-31 19:55:54,WhatsApp,CSE,Placement,Scheduling,pleese reschedule the infosys pre-placement talk.,0.37,4,true,false,PLACEMENT_INTERVIEW_CLASH_30,0.02,true,
CMP-E851CAA3,2026-01-31 21:19:11,Email,CE,Placement,Scheduling,placement cell is not responding to mails,0.2,4,false,true,PLACEMENT_INTERVIEW_CLASH_30,0.09,false,17
CMP-A5658AC6,2026-01-31 22:11:26,WhatsApp,CSE,Academic,Attendance,teacher not coming but taking attendance online??,0.23,3,false,false,FACULTY_ATTENDANCE_42,0.1,false,
CMP-42B74122,2026-01-31 23:05:26,Email,EEE,Placement,Scheduling,Please reschedule the Infosys pre-placement talk.,0.32,5,true,true,PLACEMENT_INTERVIEW_CLASH_30,0.17,true,33
CMP-DF1D3E4B,2026-02-01 00:17:10,Anonymous Report,ECE,Infrastructure,Network,wifi firse gaya 😭 library me,0.19,3,false,true,WIFI_OUTAGE_LIBRARY_81,0.23,false,31
CMP-976723DD,2026-02-01 00:36:22,Email,Common,Academic,Attendance,Prof hasn't shown up for classes this whole week.,0.31,3,false,true,FACULTY_ATTENDANCE_42,0.21,false,5
CMP-DF43FC33,2026-02-01 00:44:52,Form,ECE,Infrastructure,Network,The Wi-Fi in the main library has been down for three days now.,0.13,4,true,false,WIFI_OUTAGE_LIBRARY_81,0.16,false,
CMP-D22D49F1,2026-02-01 01:44:06,Form,EEE,Training,Curriculum,The Java trainer skipped scheduled topics.,0.35,2,true,false,TRAINING_TOC_MISMATCH_216,0.29,false,
CMP-35291563,2026-02-01 02:47:34,Form,CSE,Harassment,Bullying,Facing toxic behavior from a faculty member.,0.25,5,true,false,HARASSMENT_REPORT_227,0.69,false,
CMP-0F3E0DC3,2026-02-01 03:43:06,Anonymous Report,EEE,Training,Curriculum,The trainer is not following the announced syllabus.,0.27,3,false,false,TRAINING_TOC_MISMATCH_216,0.2,false,
CMP-892F093C,2026-02-01 03:54:40,Anonymous Report,Common,Infrastructure,Network,The Wi-Fi in the main library has been down for three days now.,0.13,5,true,true,WIFI_OUTAGE_LIBRARY_85,0.2,false,46
CMP-9C17A04B,2026-02-01 04:28:46,App,MBA,Infrastructure,Network,library wifi is completely dead. Please fix it ASAP.,0.15,5,true,true,WIFI_OUTAGE_LIBRARY_85,0.18,false,44
CMP-695DB840,2026-02-01 05:18:26,Anonymous Report,CSE,Harassment,Bullying,Please take action against ragging in boys hostel,0.29,5,true,true,HARASSMENT_REPORT_158,0.81,false,32
CMP-727F06AD,2026-02-01 05:18:58,WhatsApp,ME,Harassment,Bullying,Anonymous harassment on college group,0.2,5,true,false,HARASSMENT_REPORT_227,0.6,false,
CMP-9280283C,2026-02-01 05:21:18,App,ME,Infrastructure,Network,library wifi is completely dead. Please fix it ASAP.,0.16,3,true,true,WIFI_OUTAGE_LIBRARY_81,0.13,false,35
CMP-2D9F1C5F,2026-02-01 05:36:11,Email,CE,Harassment,Bullying,Seniors are ragging in the hostel block.,0.29,5,false,false,HARASSMENT_REPORT_227,0.88,true,
